lineno,section,title,ffield_value,qm_value,weight,error,total_error,difference
29,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a81/  1,-25.398,-20.96,4.0,1.231,143.9317,4.437999999999999
7,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a76/  1,-33.6262,-30.3,3.0,1.2293,89.6964,3.3261999999999965
45,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a161/  1,-18.3058,-20.36,2.0,1.055,187.0749,-2.054199999999998
85,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a104/  1,-2.5125,-1.5,1.0,1.0251,928.0278,1.0125000000000002
14,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a111/  1,-1.3328,-0.34,1.0,0.9856,119.5516,0.9927999999999999
35,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a111/  1,-1.3328,-0.34,1.0,0.9856,177.7355,0.9927999999999999
88,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a089/  1,-8.2979,-6.5,2.0,0.8081,930.8583,1.7979000000000003
77,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a144/  1,-2.5378,-1.7,1.0,0.7018,926.3177,0.8377999999999999
28,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a76/  1,-33.6262,-30.3,4.0,0.6915,142.7007,3.3261999999999965
26,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a66/  1,-52.0984,-60.05,10.0,0.6323,141.9677,-7.951599999999999
50,ENERGY,Energy +AlOH3_opt/  1 -AlOH3b_1_7/  1,-1.8706,0.01,2.5,0.5659,212.7118,1.8806
68,ENERGY,Energy +OAlO_a118/  1 -OAlO_a148/  1,-19.1484,-18.4,1.0,0.5601,885.3332,0.7484000000000002
91,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a074/  1,-14.4296,-17.4,4.0,0.5514,931.8204,-2.970399999999998
22,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a151/  1,-13.2719,-12.55,1.0,0.5212,128.2269,0.7218999999999998
87,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a094/  1,-5.717,-4.3,2.0,0.502,930.0502,1.4169999999999998
18,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a131/  1,-3.0825,-2.38,1.0,0.4936,120.5422,0.7025000000000001
39,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a131/  1,-3.0825,-2.38,1.0,0.4936,178.726,0.7025000000000001
84,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a109/  1,-1.3491,-0.7,1.0,0.4213,927.0027,0.6491
36,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a116/  1,-0.6122,-0.0001,1.0,0.3747,178.1102,0.6121
15,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a116/  1,-0.6122,-0.0001,1.0,0.3747,119.9263,0.6121
89,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a084/  1,-10.5146,-9.3,2.0,0.3688,931.2271,1.214599999999999
48,ENERGY,Energy +AlOH3_opt/  1 -AlOH3b_1_3/  1,-83.1344,-97.04,25.0,0.3094,200.5854,-13.905600000000007
63,ENERGY,Energy +OAlO_a118/  1 -OAlO_a123/  1,-0.9994,-0.5,1.0,0.2494,867.3323,0.49939999999999996
78,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a139/  1,-1.5676,-1.2,1.0,0.1351,926.4528,0.36760000000000015
43,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a151/  1,-13.2719,-12.55,2.0,0.1303,186.0199,0.7218999999999998
83,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a114/  1,-0.5317,-0.2,1.0,0.11,926.5814,0.33169999999999994
17,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a126/  1,-1.3237,-1.05,1.0,0.0749,120.0486,0.27370000000000005
38,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a126/  1,-1.3237,-1.05,1.0,0.0749,178.2325,0.27370000000000005
37,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a121/  1,-0.4677,-0.25,1.0,0.0474,178.1576,0.2177
16,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a121/  1,-0.4677,-0.25,1.0,0.0474,119.9737,0.2177
90,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a079/  1,-12.491,-12.9,2.0,0.0418,931.2689,-0.4090000000000007
6,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a71/  1,-43.8053,-42.99,4.0,0.0415,88.4671,0.8153000000000006
27,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a71/  1,-43.8053,-42.99,4.0,0.0415,142.0092,0.8153000000000006
79,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a134/  1,-0.775,-0.7,1.0,0.0056,926.4585,0.07500000000000007
80,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a129/  1,-0.2277,-0.3,1.0,0.0052,926.4637,-0.07229999999999998
82,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a119/  1,-0.0707,-0.0001,1.0,0.005,926.4714,0.0706
97,ENERGY,Energy +AlN_w_010_H2O/  1 -AlN_w_010_HO_H_md/  1,7.3845,7.4,0.25,0.0039,1606.3395,0.015500000000000291
81,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a124/  1,0.0216,-0.03,1.0,0.0027,926.4664,-0.0516
23,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a156/  1,-16.2318,-16.22,1.0,0.0001,128.2271,0.01180000000000092
44,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a156/  1,-16.2318,-16.22,2.0,0.0,186.0199,0.01180000000000092
